"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Vps4b","GSM2545362",2454,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,20479,"vacuolar protein sorting 4b (yeast)","ENSMUSG00000009907","8030489C12Rik","1","protein_coding",NA,"VPS4B"
"Tyw5","GSM2545341",495,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,68736,"tRNA-yW synthesizing protein 5, transcript variant X2","ENSMUSG00000048495","1110034B05Rik","1","protein_coding",NA,"TYW5"
"Mrpl30","GSM2545351",1201,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,107734,"mitochondrial ribosomal protein L30, transcript variant X2","ENSMUSG00000026087","2310001L22Rik","1","protein_coding",NA,"MRPL30"
"Klhl1","GSM2545350",312,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,93688,"kelch-like 1","ENSMUSG00000022076",NA,"14","protein_coding","abnormal gait","KLHL1"
"Rxrg","GSM2545346",44,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,20183,"retinoid X receptor gamma, transcript variant 1","ENSMUSG00000015843","Nr2b3","1","protein_coding","abnormal bone mineralization","RXRG"
"Idh2","GSM2545346",1814,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,269951,"isocitrate dehydrogenase 2 (NADP+), mitochondrial","ENSMUSG00000030541","Idh-2","7","protein_coding","long tibia","IDH2"
"Gm11605","GSM2545341",1,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,667644,NA,"ENSMUSG00000081643",NA,"1","processed_pseudogene",NA,NA
"Myog","GSM2545349",3,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,17928,"myogenin","ENSMUSG00000026459","bHLHc3","1","protein_coding","abnormal laryngeal muscle morphology","MYOG"
"Ttll1","GSM2545352",957,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,319953,"tubulin tyrosine ligase-like 1","ENSMUSG00000022442","6330444E16Rik","15","protein_coding","abnormal tail movements","TTLL1"
"Ptpro","GSM2545348",303,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,19277,"protein tyrosine phosphatase, receptor type, O, transcript variant 1","ENSMUSG00000030223","D28","6","protein_coding","abnormal cardiovascular system physiology","PTPRO"
"Eif2s3x","GSM2545363",1385,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,26905,"eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked","ENSMUSG00000035150","Eif-2gx","X","protein_coding","decreased circulating phosphate level","EIF2S3B"
"Gm29214","GSM2545380",5,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,102632997,NA,"ENSMUSG00000101301",NA,"1","processed_pseudogene",NA,NA
"Thnsl2","GSM2545339",152,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,232078,"threonine synthase-like 2 (bacterial), transcript variant 2","ENSMUSG00000054474","TSH2","6","protein_coding",NA,"THNSL2"
"Gm8615","GSM2545341",3,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,667410,"predicted pseudogene 8615","ENSMUSG00000024437",NA,"5","transcribed_processed_pseudogene",NA,NA
"Cog1","GSM2545354",2181,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,16834,"component of oligomeric golgi complex 1, transcript variant X1","ENSMUSG00000018661",NA,"11","protein_coding","decreased lean body mass","COG1"
"Eya1","GSM2545346",295,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,14048,"eyes absent 1 homolog (Drosophila), transcript variant X6","ENSMUSG00000025932","bor","1","protein_coding","abnormal aortic arch morphology","EYA1"
"Prrg1","GSM2545352",523,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,546336,"proline rich Gla (G-carboxyglutamic acid) 1, transcript variant 1","ENSMUSG00000047996","2010007L08Rik","X","protein_coding",NA,"PRRG1"
"Gm29695","GSM2545339",129,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,100505034,"predicted gene, 29695, transcript variant X4","ENSMUSG00000118219",NA,"1","protein_coding",NA,NA
"Ube2f","GSM2545348",1417,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,67921,"ubiquitin-conjugating enzyme E2F (putative), transcript variant X2","ENSMUSG00000034343","2510010F15Rik","1","protein_coding","abnormal eye morphology","UBE2F"
"Hmgcs1","GSM2545345",4737,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,208715,"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1, transcript variant 1","ENSMUSG00000093930","B130032C06Rik","13","protein_coding","preweaning lethality complete penetrance","HMGCS1"
"Mndal","GSM2545347",185,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,100040462,"myeloid nuclear differentiation antigen like, transcript variant X3","ENSMUSG00000090272","Ifi212","1","protein_coding",NA,NA
"Alg14","GSM2545338",736,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,66789,"asparagine-linked glycosylation 14, transcript variant X1","ENSMUSG00000039887","5430428G01Rik","3","protein_coding","embryonic lethality prior to organogenesis","ALG14"
"Stradb","GSM2545345",974,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,227154,"STE20-related kinase adaptor beta, transcript variant X1","ENSMUSG00000026027","Als2cr2","1","protein_coding","abnormal auditory brainstem response","STRADB"
"Icos","GSM2545346",1,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,54167,"inducible T cell co-stimulator, transcript variant X1","ENSMUSG00000026009",NA,"1","protein_coding","short tibia","ICOS"
"Itgb1bp2","GSM2545347",59,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,26549,"integrin beta 1 binding protein 2, transcript variant X1","ENSMUSG00000031312","Chordc3","X","protein_coding","abnormal response of heart to induced stress","ITGB1BP2"
"Hopx","GSM2545341",2414,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,74318,"HOP homeobox, transcript variant 1","ENSMUSG00000059325","1110018K11Rik","5","protein_coding","abnormal cardiovascular system physiology","HOPX"
"Syt16","GSM2545341",154,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,238266,"synaptotagmin XVI, transcript variant X2","ENSMUSG00000044912","Strep14","12","protein_coding","decreased total body fat amount","SYT16"
"Gm5837","GSM2545343",4,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,545399,NA,"ENSMUSG00000104496",NA,"1","processed_pseudogene",NA,NA
"Wdfy2","GSM2545354",1862,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,268752,"WD repeat and FYVE domain containing 2","ENSMUSG00000014547","B130024L21Rik","14","protein_coding",NA,"WDFY2"
"Agt","GSM2545353",3338,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,11606,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","ENSMUSG00000031980","angiotensin precursor","8","protein_coding","abnormal blood homeostasis","AGT"
"Relt","GSM2545349",651,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,320100,"RELT tumor necrosis factor receptor, transcript variant X10","ENSMUSG00000008318","E430021K24Rik","7","protein_coding","abnormal T cell morphology","RELT"
"Gm15825","GSM2545351",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,102635013,"predicted gene 15825","ENSMUSG00000089787",NA,"1","lncRNA",NA,NA
"Dgkk","GSM2545337",64,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,331374,"diacylglycerol kinase kappa","ENSMUSG00000062393",NA,"X","protein_coding","decreased grip strength","DGKK"
"Fn3k","GSM2545343",1328,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,63828,"fructosamine 3 kinase, transcript variant X1","ENSMUSG00000025175","2310074G21Rik","11","protein_coding","abnormal cell physiology","FN3K"
"Anxa3","GSM2545362",391,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,11745,"annexin A3","ENSMUSG00000029484","Anx3","5","protein_coding",NA,"ANXA3"
"Gm9899","GSM2545337",1155,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,100502829,"predicted gene 9899","ENSMUSG00000053214",NA,"5","lncRNA",NA,NA
"Syvn1","GSM2545362",1928,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,74126,"synovial apoptosis inhibitor 1, synoviolin, transcript variant X1","ENSMUSG00000024807","1200010C09Rik","19","protein_coding","abnormal apoptosis","SYVN1"
"Ccdc136","GSM2545338",3195,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,232664,"coiled-coil domain containing 136, transcript variant X2","ENSMUSG00000029769","4921511K06Rik","6","protein_coding","abnormal sperm nucleus morphology","CCDC136"
"Icosl","GSM2545346",837,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,50723,"icos ligand","ENSMUSG00000000732","B7-H2","10","protein_coding","abnormal T cell differentiation","ICOSLG"
"Asic3","GSM2545354",39,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,171209,"acid-sensing (proton-gated) ion channel 3, transcript variant X4","ENSMUSG00000038276","Accn3","5","protein_coding","abnormal gallbladder morphology","ASIC3"
"Kcnj16","GSM2545345",1327,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,16517,"potassium inwardly-rectifying channel, subfamily J, member 16, transcript variant 1","ENSMUSG00000051497","6430410F18Rik","11","protein_coding","abnormal bone mineralization","KCNJ16"
"Bbs1","GSM2545350",1796,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,52028,"Bardet-Biedl syndrome 1 (human), transcript variant X1","ENSMUSG00000006464","D19Ertd609e","19","protein_coding","abnormal blood vessel morphology","BBS1"
"Slc35f5","GSM2545336",826,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,74150,"solute carrier family 35, member F5, transcript variant X2","ENSMUSG00000026342","1300003P13Rik","1","protein_coding",NA,"SLC35F5"
"Gabrr1","GSM2545337",5,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,14408,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 1, transcript variant X8","ENSMUSG00000028280","GABA-C","4","protein_coding","abnormal mechanical nociception","GABRR1"
"Lman2l","GSM2545342",739,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,214895,"lectin, mannose-binding 2-like, transcript variant X2","ENSMUSG00000001143","A630028F14Rik","1","protein_coding",NA,"LMAN2L"
"Tyrp1","GSM2545354",17,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,22178,"tyrosinase-related protein 1, transcript variant X1","ENSMUSG00000005994","isa","4","protein_coding","abnormal behavior","TYRP1"
"Cryga","GSM2545351",4,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,12964,"crystallin, gamma A","ENSMUSG00000044429","Cryg-4","1","protein_coding","abnormal lens fiber morphology","CRYGA"
"Mir30c-2","GSM2545342",7,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,723964,"microRNA 30c-2","ENSMUSG00000065567","mir 30c-2","1","miRNA",NA,"MIR30C2"
"Colgalt2","GSM2545338",98,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,269132,"collagen beta(1-O)galactosyltransferase 2","ENSMUSG00000032649","Glt25d2","1","protein_coding",NA,"COLGALT2"
"Gm5523","GSM2545337",1,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,433273,"predicted pseudogene 5523","ENSMUSG00000097711",NA,"1","processed_pseudogene",NA,NA
"Gm4017","GSM2545341",24,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,100042763,NA,"ENSMUSG00000101059",NA,"Y","processed_pseudogene",NA,NA
"Glra2","GSM2545353",205,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,237213,"glycine receptor, alpha 2 subunit, transcript variant X2","ENSMUSG00000018589",NA,"X","protein_coding","decreased monocyte cell number","GLRA2"
"Heyl","GSM2545351",161,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,56198,"hairy/enhancer-of-split related with YRPW motif-like","ENSMUSG00000032744","bHLHb33","4","protein_coding","abnormal sleep behavior","HEYL"
"Ptgis","GSM2545352",115,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,19223,"prostaglandin I2 (prostacyclin) synthase, transcript variant X1","ENSMUSG00000017969","Cyp8a1","2","protein_coding","abnormal brain morphology","PTGIS"
"Dot1l","GSM2545350",8520,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,208266,"DOT1-like, histone H3 methyltransferase (S. cerevisiae), transcript variant X4","ENSMUSG00000061589","KMT4","10","protein_coding","abnormal retinal vasculature morphology","DOT1L"
"Mettl16","GSM2545363",1012,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,67493,"methyltransferase like 16, transcript variant X3","ENSMUSG00000010554","2610100D03Rik","11","protein_coding","abnormal coat/hair pigmentation","METTL16"
"Phf7","GSM2545344",155,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,71838,"PHD finger protein 7, transcript variant X3","ENSMUSG00000021902","1700006H01Rik","14","protein_coding","male infertility","PHF7"
"Atg16l1","GSM2545349",2057,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,77040,"autophagy related 16-like 1 (S. cerevisiae), transcript variant X2","ENSMUSG00000026289","1500009K01Rik","1","protein_coding","increased circulating serum albumin level","ATG16L1"
"Cfap221","GSM2545342",8,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,226356,"cilia and flagella associated protein 221, transcript variant X1","ENSMUSG00000036962","Gm101","1","protein_coding",NA,"CFAP221"
"Amt","GSM2545350",1319,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,434437,"aminomethyltransferase","ENSMUSG00000032607","EG434437","9","protein_coding","abnormal neural tube morphology","AMT"
"Rab3b","GSM2545340",418,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,69908,"RAB3B, member RAS oncogene family","ENSMUSG00000003411",NA,"4","protein_coding","no abnormal phenotype detected","RAB3B"
"Ndufa10","GSM2545351",4425,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,67273,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10","ENSMUSG00000026260","2900053E13Rik","1","protein_coding","abnormal bone structure","NDUFA10"
"Hhex","GSM2545354",36,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,15242,"hematopoietically expressed homeobox","ENSMUSG00000024986","Hex","19","protein_coding","abnormal anterior definitive endoderm morphology",NA
"Tufm","GSM2545341",1065,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,233870,"Tu translation elongation factor, mitochondrial, transcript variant X1","ENSMUSG00000073838","2300002G02Rik","7","protein_coding","abnormal bone structure","TUFM"
"Hebp1","GSM2545337",238,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,15199,"heme binding protein 1","ENSMUSG00000042770","p22 HBP","6","protein_coding",NA,"HEBP1"
"Atg16l2","GSM2545336",897,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,73683,"autophagy related 16-like 2 (S. cerevisiae), transcript variant X12","ENSMUSG00000047767","2410118P20Rik","7","protein_coding","decreased lymphocyte cell number","ATG16L2"
"Ugt8a","GSM2545338",4422,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,22239,"UDP galactosyltransferase 8A, transcript variant X1","ENSMUSG00000032854","Cgt","3","protein_coding","abnormal Purkinje cell morphology","UGT8"
"Dcakd","GSM2545343",1424,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,68087,"dephospho-CoA kinase domain containing, transcript variant X1","ENSMUSG00000020935","3010024O21Rik","11","protein_coding",NA,"DCAKD"
"Mael","GSM2545346",4,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,98558,"maelstrom homolog (Drosophila)","ENSMUSG00000040629","4933405K18Rik","1","protein_coding","abnormal DNA methylation during gametogenesis","MAEL"
"Dusp27","GSM2545362",16,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",20,240892,"dual specificity phosphatase 27 (putative), transcript variant 2","ENSMUSG00000026564","C130085G02Rik","1","protein_coding","abnormal lymph node morphology","STYXL2"
"Ier3","GSM2545336",669,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,15937,"immediate early response 3","ENSMUSG00000003541","cAMP inducible gene 3","17","protein_coding","abnormal CD4-positive alpha-beta T cell physiology","IER3"
"Penk","GSM2545354",3160,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,18619,"preproenkephalin, transcript variant X1","ENSMUSG00000045573","ENK","4","protein_coding","abnormal bone structure","PENK"
"Nuf2","GSM2545348",209,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)","ENSMUSG00000026683","2410003C07Rik","1","protein_coding",NA,"NUF2"
"Kdm5c","GSM2545348",5500,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,20591,"lysine (K)-specific demethylase 5C, transcript variant X5","ENSMUSG00000025332","D930009K15Rik","X","protein_coding","preweaning lethality complete penetrance","KDM5C"
"Plxnb3","GSM2545342",648,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,140571,"plexin B3, transcript variant X1","ENSMUSG00000031385","Plxn6","X","protein_coding","abnormal coat appearance","PLXNB3"
"Stbd1","GSM2545344",21,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,52331,"starch binding domain 1","ENSMUSG00000047963","D530019K15Rik","5","protein_coding","decreased prepulse inhibition","STBD1"
"Pim2","GSM2545344",1062,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,18715,"proviral integration site 2","ENSMUSG00000031155","DXCch3","X","protein_coding","decreased T cell proliferation","PIM2"
"Gm36527","GSM2545353",6,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,102640476,"predicted gene, 36527","ENSMUSG00000103238","Gm37156","1","TEC",NA,NA
"Dennd1b","GSM2545349",894,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",7,329260,"DENN/MADD domain containing 1B, transcript variant X1","ENSMUSG00000056268","4632404N19Rik","1","protein_coding","increased body length","DENND1B"
"Slc25a27","GSM2545354",4656,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,74011,"solute carrier family 25, member 27, transcript variant X4","ENSMUSG00000023912","3632410G24Rik","17","protein_coding",NA,"SLC25A27"
"Msantd1","GSM2545343",229,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,403174,"Myb/SANT-like DNA-binding domain containing 1, transcript variant X2","ENSMUSG00000051246","A930005I04Rik","5","protein_coding","abnormal heart morphology","MSANTD1"
"Prrc2c","GSM2545338",7239,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,226562,"proline-rich coiled-coil 2C, transcript variant X4","ENSMUSG00000040225","1810043M20Rik","1","protein_coding","abnormal auditory brainstem response","PRRC2C"
"Lims2","GSM2545346",282,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",23,225341,"LIM and senescent cell antigen like domains 2, transcript variant X2","ENSMUSG00000024395","PINCH2","18","protein_coding","abnormal response to cardiac infarction","LIMS2"
"Gata3","GSM2545380",53,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",19,14462,"GATA binding protein 3, transcript variant X1","ENSMUSG00000015619","Gata-3","2","protein_coding","abnormal T cell differentiation","GATA3"
"Gm20501","GSM2545338",81,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,102635300,"predicted gene 20501, transcript variant X5","ENSMUSG00000092536",NA,"7","lncRNA",NA,NA
"Kctd20","GSM2545342",2006,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",5,66989,"potassium channel tetramerisation domain containing 20, transcript variant X1","ENSMUSG00000005936","2410004N11Rik","17","protein_coding",NA,"KCTD20"
"Ptpn23","GSM2545345",2355,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,104831,"protein tyrosine phosphatase, non-receptor type 23, transcript variant X1","ENSMUSG00000036057","PTP-TD14","9","protein_coding","increased circulating HDL cholesterol level","PTPN23"
"Pithd1","GSM2545343",2307,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",11,66193,"PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1","ENSMUSG00000028669","1110049F12Rik","4","protein_coding","abnormal testis physiology","PITHD1"
"Il12rb1","GSM2545350",61,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",1,16161,"interleukin 12 receptor, beta 1, transcript variant X1","ENSMUSG00000000791","CD212","8","protein_coding","abnormal skin coloration","IL12RB1"
"Xpo1","GSM2545348",6317,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,103573,"exportin 1, CRM1 homolog (yeast), transcript variant X1","ENSMUSG00000020290","Crm1","11","protein_coding","increased heart weight","XPO1"
"Mgat5","GSM2545344",3738,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",22,107895,"mannoside acetylglucosaminyltransferase 5, transcript variant X2","ENSMUSG00000036155","4930471A21Rik","1","protein_coding","abnormal T cell physiology","MGAT5"
"Zfp36","GSM2545353",227,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,22695,"zinc finger protein 36","ENSMUSG00000044786","Nup475","7","protein_coding","decreased mean corpuscular volume","ZFP36"
"Gm4953","GSM2545353",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",4,240853,NA,"ENSMUSG00000061992",NA,"1","processed_pseudogene",NA,NA
"Tpr","GSM2545348",6323,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,108989,"translocated promoter region, nuclear basket protein","ENSMUSG00000006005","2610029M07Rik","1","protein_coding","preweaning lethality complete penetrance","TPR"
"Sfrp2","GSM2545338",36,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,20319,"secreted frizzled-related protein 2, transcript variant X1","ENSMUSG00000027996","Sdf5","3","protein_coding","abnormal bone structure","SFRP2"
"Tssk5","GSM2545337",64,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,73542,"testis-specific serine kinase 5","ENSMUSG00000060794","1700091F14Rik","15","protein_coding","decreased leukocyte cell number",NA
"Dcaf12","GSM2545337",2747,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,68970,"DDB1 and CUL4 associated factor 12","ENSMUSG00000028436","1500001L20Rik","4","protein_coding","increased aggression","DCAF12"
"Trpv3","GSM2545338",5,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,246788,"transient receptor potential cation channel, subfamily V, member 3, transcript variant X2","ENSMUSG00000043029","1110036I10Rik","11","protein_coding","abnormal coat/ hair morphology","TRPV3"
"Pgap1","GSM2545351",2122,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",16,241062,"post-GPI attachment to proteins 1","ENSMUSG00000073678","5033403E17Rik","1","protein_coding","preweaning lethality complete penetrance","PGAP1"
"Nucb2","GSM2545354",231,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,53322,"nucleobindin 2, transcript variant X5","ENSMUSG00000030659","Calnuc","7","protein_coding","decreased heart rate","NUCB2"
"Trim3","GSM2545340",6138,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,55992,"tripartite motif-containing 3, transcript variant 4","ENSMUSG00000036989","BERP1","7","protein_coding","abnormal retinal outer nuclear layer morphology","TRIM3"
"Ppp1r1c","GSM2545352",10,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,75276,"protein phosphatase 1, regulatory (inhibitor) subunit 1C, transcript variant 2","ENSMUSG00000034683","4930565M23Rik","2","protein_coding",NA,"PPP1R1C"
"Boc","GSM2545336",4017,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,117606,"biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein","ENSMUSG00000022687",NA,"16","protein_coding","decreased bone mineral content","BOC"
"Fzd7","GSM2545348",2510,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",8,14369,"frizzled homolog 7 (Drosophila)","ENSMUSG00000041075","Fz7","1","protein_coding","abnormal heart morphology","FZD7"
"Itgb1bp2","GSM2545339",40,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",15,26549,"integrin beta 1 binding protein 2, transcript variant X1","ENSMUSG00000031312","Chordc3","X","protein_coding","abnormal response of heart to induced stress","ITGB1BP2"
"Xpa","GSM2545352",573,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",4,"Cerebellum",21,22590,"xeroderma pigmentosum, complementation group A, transcript variant X2","ENSMUSG00000028329","Xpac","4","protein_coding","abnormal Langerhans cell physiology","XPA"
"Nuf2","GSM2545363",148,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)","ENSMUSG00000026683","2410003C07Rik","1","protein_coding",NA,"NUF2"
"Trpv3","GSM2545341",23,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",6,246788,"transient receptor potential cation channel, subfamily V, member 3, transcript variant X2","ENSMUSG00000043029","1110036I10Rik","11","protein_coding","abnormal coat/ hair morphology","TRPV3"
"Bbs1","GSM2545345",1393,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,52028,"Bardet-Biedl syndrome 1 (human), transcript variant X1","ENSMUSG00000006464","D19Ertd609e","19","protein_coding","abnormal blood vessel morphology","BBS1"
"Gbx2","GSM2545337",2,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,14472,"gastrulation brain homeobox 2","ENSMUSG00000034486","Gbx-2","1","protein_coding","abnormal aortic arch morphology","GBX2"
"Cyp2d22","GSM2545340",2171,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",18,56448,"cytochrome P450, family 2, subfamily d, polypeptide 22, transcript variant 2","ENSMUSG00000061740","2D22","15","protein_coding","abnormal skin morphology","CYP2D6"
